Asset Number,Manufacturer,Model,Image Date,Image Time,Body Part,View,Exposure Index,KAP (uGy.m2),kVp,Exposure (mAs),Exposure time (ms),Image Status,Reject Reason
123456789,Shimadzu,Radspeed Pro,2021-01-13,18:56:11,CHEST,,98.19886138,28,60,1.6,8,Approved,
123456789,Shimadzu,Radspeed Pro,2021-03-11,18:52:27,CHEST,,447.4757123,228,100,3.2,10,Approved,
123456789,Shimadzu,Radspeed Pro,2021-03-11,18:55:52,ABDOMEN,,714.9065772,1563,80,12.8,40,Approved,
123456789,Shimadzu,Radspeed Pro,2021-05-24,10:15:36,CHEST,PA,69.61897785,121,100,3.5,14,Approved,
123456789,Shimadzu,Radspeed Pro,2021-05-24,11:12:28,CHEST,,169.7053804,84,100,3.2,10,Approved,
123456789,Shimadzu,Radspeed Pro,2021-05-24,11:13:34,HUMERUS,,171.0898176,99,60,6.4,20,Approved,
123456789,Shimadzu,Radspeed Pro,2021-05-24,11:14:27,HUMERUS,,81.68192102,159,60,10.24,32,Approved,
123456789,Shimadzu,Radspeed Pro,2021-05-24,11:15:51,ELBOW,,372.2107902,25,63,1.92,6,Approved,
123456789,Shimadzu,Radspeed Pro,2021-06-06,18:57:29,ARM,,150.328283,1,50,1.6,8,Approved,
123456789,Shimadzu,Radspeed Pro,2021-06-06,18:57:58,ARM,,109.32894,1,50,1.6,8,Approved,
123456789,Shimadzu,Radspeed Pro,2021-06-06,18:58:28,ARM,,99.13575552,1,50,1.6,8,Approved,
123456789,Shimadzu,Radspeed Pro,2021-10-26,13:19:28,ABDOMEN,AP,281.6032932,1555,80,17.6,22,Approved,
123456789,Shimadzu,Radspeed Pro,2021-10-26,13:20:06,ABDOMEN,AP,358.3587042,1831,80,25.6,32,Approved,
123456789,Shimadzu,Radspeed Pro,2021-10-26,13:27:23,CHEST,PA,57.44056414,202,100,3.25,13,Approved,
123456789,Shimadzu,Radspeed Pro,2021-10-26,13:28:05,CHEST,,147.4110876,1219,110,18.0,36,Approved,
123456789,Shimadzu,Radspeed Pro,2021-10-26,13:29:43,KNEE,,113.3559189,48,60,2.0,10,Approved,
123456789,Shimadzu,Radspeed Pro,2021-10-26,13:30:29,KNEE,,185.570818,55,60,2.0,10,Approved,
123456789,Shimadzu,Radspeed Pro,2021-10-26,13:53:12,CHEST,PA,119.6641638,264,100,3.5,14,Approved,
123456789,Shimadzu,Radspeed Pro,2021-10-26,13:54:41,PELVIS,,570.9805568,8066,80,56.64,177,Rejected,ARTEFCT
123456789,Shimadzu,Radspeed Pro,2021-10-26,13:55:24,PELVIS,,575.638545,8035,80,56.32,176,Approved,
123456789,Shimadzu,Radspeed Pro,2021-10-26,13:57:06,SPINE,,337.6307131,3724,85,42.56,133,Approved,
123456789,Shimadzu,Radspeed Pro,2021-10-26,13:58:10,LSPINE,,174.3626478,4670,90,102.4,320,Approved,
123456789,Shimadzu,Radspeed Pro,2021-10-26,14:04:51,KNEE,,118.3758595,42,60,1.92,6,Rejected,Positioning Error
123456789,Shimadzu,Radspeed Pro,2021-10-26,14:05:21,KNEE,,120.3151312,42,60,2.0,10,Approved,
123456789,Shimadzu,Radspeed Pro,2021-10-26,14:07:05,EXTREMITY,,136.6472496,7,70,0.64,2,Approved,
123456789,Shimadzu,Radspeed Pro,2021-10-26,14:08:52,EXTREMITY,,304.6150427,22,66,0.64,2,Approved,
123456789,Shimadzu,Radspeed Pro,2021-10-26,14:09:44,EXTREMITY,,224.3068616,37,66,0.96,3,Approved,
